,cat
931672,12
561843,20
245833,13
236223,16
902985,12
552677,19
152178,20
808198,25
1092,20
259851,1
879357,6
374372,8
680007,8
669923,8
101531,8
715045,13
564300,8
919245,15
921893,26
734780,8
649694,26
403794,8
852819,8
154,26
269668,20
830166,20
123772,6
393749,8
188287,16
719770,15
376059,8
794813,4
476472,19
248000,8
934159,1
88837,1
337860,25
925339,1
546147,22
28185,26
760369,13
59823,16
853171,15
428804,1
415108,13
130523,6
722466,20
113662,19
406077,8
768120,16
671195,8
937388,11
878358,7
568644,8
929835,26
650141,19
779961,20
768479,8
684276,1
554705,8
20148,8
120178,8
510348,16
636620,13
248988,20
336064,20
146336,6
225790,20
791819,16
391444,20
482205,26
89,8
324574,1
533938,15
392325,13
614931,1
130831,20
587654,8
413824,16
443968,1
461538,25
333626,7
297921,15
648083,1
580629,20
944271,1
229771,8
279303,15
718560,6
772757,1
420807,8
396154,19
328378,8
292430,12
41741,8
651778,8
656770,20
299812,13
410722,20
1996,4
210216,8
891099,8
361972,16
688469,19
590810,13
90599,8
155870,25
97854,15
807942,8
839584,1
927512,8
905964,1
323206,25
837271,8
793274,26
504794,25
109645,20
431465,8
1608,1
45548,1
852944,8
67431,20
712521,20
513982,20
66315,20
219471,21
911266,4
931813,18
794831,13
911790,9
833321,20
497715,8
899558,21
30712,20
633014,20
517518,3
570585,9
617784,9
793392,8
634897,19
94636,1
71484,8
753492,1
939214,4
36472,16
942301,15
518594,8
239015,1
611632,1
255633,8
949276,26
599182,8
716458,8
127624,16
22654,25
533683,8
117802,13
917729,8
704826,20
947959,16
654896,8
495214,8
328659,8
222227,15
261867,20
150414,15
385961,8
451461,16
556224,1
758518,25
257788,8
498177,15
948595,8
799259,9
170447,18
547893,15
607062,16
311934,26
562082,6
378634,16
383794,1
288857,8
315543,12
11244,8
170656,11
249950,19
911484,20
836164,8
12158,11
121853,8
168989,20
188286,19
200140,26
678625,7
184007,12
694870,1
947834,8
894227,1
297419,13
647711,13
303851,1
832512,8
483109,6
782821,19
766242,15
843683,4
920939,8
912324,1
191701,15
617879,1
466757,1
418224,15
108171,16
97675,8
439766,8
654605,20
468224,1
231525,16
863744,8
156379,4
704119,8
825774,21
624801,8
564853,1
688464,15
755137,20
176514,1
666006,20
264567,16
846104,13
118548,16
511016,20
164596,13
743762,8
305863,16
866892,1
347493,16
598315,20
358306,1
248464,13
418807,1
931293,1
641226,15
859734,20
393275,9
778861,15
188713,13
117910,13
289349,16
179301,4
685630,20
413489,9
112086,16
864228,26
919727,20
839351,20
800466,20
710725,8
793943,8
950550,26
894465,26
626446,16
869281,20
410207,3
610596,16
910981,9
588387,13
832762,8
41260,20
509149,1
363718,16
234151,1
788904,6
858231,1
584411,14
612894,1
134461,8
32155,8
517919,26
75558,26
541284,1
659917,3
182388,8
272989,26
62665,26
373455,1
584599,16
522930,1
347803,1
546504,8
648770,8
443854,1
608316,16
99781,8
446639,15
11068,8
511758,8
901184,16
208544,20
401496,6
695823,20
269935,20
165425,8
408882,25
524637,20
421354,19
117322,6
3921,1
376891,1
327406,19
559920,6
184745,8
301374,22
74813,25
130360,20
823361,25
268693,6
471488,8
563223,8
149659,12
858558,1
651555,4
36823,15
191690,7
313189,20
692979,8
404950,8
618575,9
148264,8
474139,15
139772,15
836284,7
134790,12
535161,4
181001,8
394129,17
389151,26
144256,20
604505,8
485973,7
432935,20
203202,1
504849,8
47099,26
742113,23
865878,17
429126,15
677444,16
591850,16
808064,13
159580,1
931581,1
931242,1
891844,13
145927,6
870276,8
243650,15
134240,7
806161,20
867429,25
263456,8
393467,1
220776,17
195267,15
247415,8
727433,4
255980,26
927004,26
490824,8
291019,8
884393,20
474057,8
366767,8
27218,26
269795,8
422043,9
911939,20
101214,8
630619,8
98004,20
910216,8
642312,26
753522,7
259938,1
86400,20
924606,7
434272,6
58581,20
304670,26
658353,20
327360,13
842618,19
564023,13
28200,15
545644,8
690080,26
849164,8
146871,25
75967,21
252489,21
414659,16
761851,20
419414,16
293838,15
941567,8
96781,8
607865,1
626366,20
500240,20
680506,20
137739,20
789229,1
921964,25
621880,26
243325,8
236366,15
178142,20
162145,11
925287,1
474596,26
913677,1
835787,8
699331,20
885923,6
294052,19
878560,8
408979,9
53579,8
13772,26
80625,8
575031,4
683539,13
777170,20
709238,26
530891,20
530952,8
378797,8
118355,8
661195,7
887646,26
360721,13
905517,1
104498,16
244820,25
899179,8
577075,20
198179,8
525960,8
112560,12
811606,22
16673,7
717563,8
16474,9
658450,8
943868,8
46876,20
668154,26
340072,8
31128,1
100302,1
96839,20
441674,26
184577,25
407837,25
111989,20
617223,8
915360,20
931834,26
938047,8
687911,20
488444,13
245865,20
784017,26
738429,8
88472,8
324763,16
876975,8
559957,8
826208,8
469393,8
589389,16
658423,16
33461,1
622438,1
919440,6
588772,8
706555,11
522294,16
149562,25
86311,8
95054,1
225052,8
515162,16
492486,7
215142,26
351017,8
774817,1
529518,16
832442,21
583999,16
75452,6
922834,7
128766,18
231770,8
189252,19
143245,8
439045,8
590110,8
68825,8
362266,8
596243,25
217974,26
730936,15
494130,8
932853,12
390680,1
549089,8
360401,9
433267,20
938962,8
928955,1
61714,15
797292,8
783373,16
462930,20
348270,8
186247,1
866030,6
664503,15
704498,26
698108,12
867400,1
515667,1
409799,1
890805,20
159164,1
630772,1
90760,20
308883,1
42578,8
796834,7
914516,1
209296,20
576741,8
163324,21
848759,6
19238,16
862802,1
949189,8
573152,1
369175,1
477443,26
389232,9
592341,8
643872,16
49449,8
602652,20
614659,26
390342,1
714639,8
920594,1
484906,26
529128,20
944741,8
575320,21
500544,16
124122,16
413010,16
899388,8
521313,1
456266,20
556722,8
352970,8
476683,15
760521,25
254950,25
930872,26
257564,8
760847,7
43500,4
778749,6
625414,9
326848,12
441909,15
11656,16
49781,1
316063,20
691939,8
312006,22
135907,8
915602,8
457748,20
866022,1
582301,20
150133,1
878864,15
418308,1
232586,8
218037,8
639172,1
795510,16
732343,20
585484,25
918297,8
415210,8
707022,10
562145,8
815413,6
781871,8
772719,1
950568,1
645626,1
663219,8
805156,6
324521,1
663539,13
723538,17
874392,13
232455,20
20176,8
925367,26
245721,11
490716,15
266226,12
220605,16
112100,19
173588,20
673493,1
486995,6
856466,8
59705,20
258116,20
15791,26
368862,15
668534,20
449914,6
545750,8
137353,20
944800,26
133123,20
793571,16
36665,16
676808,6
242304,7
369026,7
918414,16
563188,21
73226,20
337953,20
574707,8
923659,1
207504,13
888021,8
409119,8
442389,20
332748,8
621654,15
544115,1
769364,8
410999,21
923384,20
566152,7
240184,24
490296,8
645218,16
776981,8
8269,25
547428,13
146208,20
18615,1
650542,8
127424,20
932396,19
347474,1
864888,13
881663,25
52064,20
13186,16
433683,19
262398,20
133340,1
661598,8
349354,8
198086,8
522352,20
843896,26
356254,20
516146,26
760705,8
921697,20
118713,19
284951,20
232485,20
354218,1
504836,20
359404,8
840338,27
61157,20
846277,8
10829,11
375411,20
650369,8
49181,20
175945,8
653679,20
3787,1
849309,26
65863,1
885574,8
408962,6
607820,7
312840,13
339488,6
943881,9
900181,1
263566,13
79150,7
868760,10
465916,20
642689,8
51472,8
707767,12
753440,6
130979,8
830759,16
920585,16
621321,11
924316,26
40275,1
86641,6
49655,20
770699,1
948758,20
469114,8
547,20
231852,13
912459,8
793613,16
359806,8
138091,26
338660,1
159326,20
555752,20
926101,8
902929,13
25094,8
897154,8
770461,8
927649,26
894360,20
949046,3
732155,1
340544,15
602974,8
252283,16
88902,16
143899,19
449776,8
845547,8
865630,1
704913,8
141002,8
932205,19
285794,8
302806,1
895293,12
425359,20
550504,1
932384,16
518896,15
95356,13
63919,8
42624,3
237467,8
120564,16
532601,20
921055,4
229777,20
876063,26
921270,4
368246,1
463692,20
368704,6
449017,12
157224,20
576145,12
502378,19
242993,1
297102,26
410131,16
216949,8
865053,8
605829,8
84486,8
340853,20
902771,15
763773,9
707047,25
104898,16
392927,1
94569,16
153892,8
878900,8
574046,19
737790,21
635923,7
816729,25
122017,20
159659,8
306993,20
921488,16
1001489,26
839743,8
465762,8
498230,15
260059,1
664602,8
930071,7
854463,12
37236,16
227114,16
178705,26
850072,27
308727,1
607918,8
639328,8
49732,26
861393,16
819980,8
933294,6
164346,16
509748,20
138396,8
229924,13
392232,8
951106,1
668023,8
611630,15
701004,8
17765,8
340452,6
106071,26
899723,9
180287,1
926410,8
307649,13
320544,8
611814,8
472061,20
919962,26
102366,8
146714,26
443820,8
361495,20
843097,1
770078,16
566436,16
244491,1
294612,20
925236,26
119411,4
719247,8
634093,1
516283,8
685514,6
173485,15
673041,4
879984,15
529982,1
560663,8
471854,16
520067,12
598848,26
220425,15
102472,16
437012,1
524299,16
779648,13
796104,15
154186,20
900178,22
816237,6
318895,16
360012,1
89579,20
951251,15
908932,11
35458,8
211198,27
498639,9
569,21
881147,13
465132,15
523394,1
73152,20
12988,8
859294,1
38713,1
15032,6
552616,20
481266,8
714635,19
322187,6
495836,1
504818,1
68645,22
709274,8
369264,17
334556,16
66814,6
655359,15
89219,20
317255,15
556852,6
348276,8
931958,15
238243,20
453271,15
558219,20
866816,4
699944,20
828989,1
165933,8
758979,6
264685,8
620504,1
361866,1
819885,15
751285,6
427371,20
812857,13
73820,13
840617,20
488707,1
341584,20
449733,20
438484,8
937162,6
146584,1
757333,6
877466,19
639076,13
655931,1
475189,22
932325,13
501335,7
925441,11
30859,16
108570,4
350838,8
883415,15
733258,8
213853,6
404462,7
5425,3
288850,8
815968,8
30129,8
133801,8
333753,15
92395,15
586603,25
455101,10
599769,26
515351,16
10702,1
170226,22
45791,20
697842,8
804989,8
948942,7
250241,8
38331,8
568768,20
947140,15
168151,20
915786,6
274594,26
593475,25
567653,13
404936,16
332391,13
285221,8
925055,12
696411,13
396948,8
894017,20
936761,6
224298,8
193943,26
290204,8
948181,16
701041,20
482097,8
824473,13
759203,20
578110,8
247263,15
235033,16
515448,3
777153,20
947706,15
465811,1
514446,8
780432,8
79929,20
873234,15
375864,16
801782,26
923306,1
734896,26
263079,15
503881,18
132234,16
934214,20
178470,25
137403,20
314029,4
923965,8
699293,8
452777,6
858189,1
532194,8
876605,8
815705,6
919704,20
293839,16
442188,15
492004,26
485469,26
402429,8
125610,1
191285,12
659472,8
738536,14
526469,1
481543,8
320885,6
864225,8
178141,16
157527,13
518770,15
192072,8
354367,20
376267,8
190431,8
898654,1
389494,20
15532,16
328355,8
855721,8
433220,20
402015,26
503492,20
1011131,26
538288,8
67398,15
479124,8
198267,22
926199,25
943881,6
681690,8
714929,8
324384,8
24850,13
642739,26
856936,25
296219,8
664789,26
258343,1
501004,16
932006,8
923636,20
104649,8
652168,16
439677,15
187739,26
950714,1
775260,26
486767,16
798420,6
65348,8
740362,8
429316,26
422370,8
510581,7
384025,13
655112,22
544933,13
221490,20
714741,25
705345,20
422078,8
840295,16
678485,13
194085,1
945386,20
10488,20
40830,20
924800,8
822143,8
88372,1
14387,26
925540,3
714855,27
849370,20
714001,20
850044,8
52858,20
163848,8
332622,1
93552,8
922810,25
308746,6
732685,13
908554,18
694681,17
416856,8
842705,26
594777,6
692801,8
212982,8
291391,6
813678,15
766558,16
235215,6
614169,9
109810,13
737101,20
118658,8
657394,26
1015,12
150300,8
493644,1
751589,15
316846,1
884652,8
779201,15
497009,13
59531,1
92399,8
143960,1
690853,20
313774,1
759671,25
459932,20
854573,1
569668,8
210551,8
440914,8
763376,1
561256,20
194745,13
657241,20
924089,8
97663,13
758564,11
495169,8
167111,17
889546,8
785604,3
469912,7
47650,15
896363,8
802586,11
64718,8
344946,15
111803,1
297580,1
277995,8
576375,16
942053,13
637071,8
95,7
111863,16
114109,1
502111,13
222529,20
612965,8
902137,8
624617,16
199819,12
682757,8
138704,20
497458,6
439567,15
321878,16
475845,8
747987,7
568932,19
945252,20
99131,13
563070,20
2516,6
283499,20
686146,26
641611,20
643843,8
566551,20
2247,20
221863,20
548215,13
134973,1
682607,19
737129,26
1726,6
187727,8
318145,15
209184,8
789937,8
238147,1
49577,9
471954,15
717316,20
523792,15
169189,20
879413,1
260814,15
819320,16
368453,1
374054,8
524001,1
759360,8
652008,15
77316,1
223188,26
264538,20
261945,1
496211,22
335342,8
654592,1
138296,26
199008,15
337008,16
321396,1
517101,20
909834,20
242679,8
97383,16
82914,6
924099,20
586124,22
24603,8
947500,8
78794,18
238136,26
544986,8
136913,9
332035,13
625408,16
275199,20
879790,20
526842,1
412897,19
464085,1
607194,15
923579,22
156569,8
201776,20
866650,4
278276,16
317787,15
84552,16
734704,1
631472,8
718551,8
912996,6
500868,15
931128,12
637687,13
133341,16
295097,20
16537,20
824224,20
395529,16
264573,8
609484,8
877296,6
485655,8
802759,19
624995,20
753553,6
318013,8
925975,20
562726,13
627505,8
640742,8
890885,1
964130,26
696159,20
801361,8
139291,13
74300,19
496780,14
120052,20
167676,7
804331,8
866884,16
783748,8
217771,20
405926,6
173864,13
2494,16
60839,6
8899,16
422735,1
183780,1
550460,1
360527,25
412759,8
718083,20
102452,8
920208,20
873239,8
438339,1
427650,8
886387,16
880640,25
949449,16
635440,16
463277,15
533239,1
558924,6
757070,22
286053,8
19660,1
347939,8
118808,8
949837,16
329217,25
742871,8
681023,8
510198,8
392295,6
912965,1
376978,25
916401,6
75143,21
451642,16
960178,26
437245,16
270179,1
923264,8
105854,8
974748,26
207210,8
194420,25
493288,4
362060,20
947616,1
55132,8
589826,16
385040,8
683680,16
923490,8
717423,1
928903,16
698307,8
619322,7
652385,1
794772,13
150411,20
154323,3
734187,8
797456,1
924307,2
342539,16
393971,27
156471,8
97697,6
388602,8
931955,26
288952,16
405345,1
334227,8
608830,1
802222,15
333239,25
826349,1
162724,8
280894,1
464805,11
928737,8
465121,26
705722,9
308991,6
572846,1
385107,11
139684,13
323406,8
400515,13
288701,8
862322,8
500261,20
678448,14
802920,16
9386,16
309074,20
237143,1
787475,7
742874,15
809128,20
527995,20
891530,7
518288,8
672156,1
202953,8
173666,20
507992,3
588595,16
118669,7
130813,8
523720,17
691883,16
95160,20
526862,4
922713,26
143207,8
358906,15
363960,8
143143,17
580117,8
11943,8
601824,13
491565,12
225364,8
267642,1
945436,16
493807,20
527447,8
133786,3
728936,8
98935,20
393541,15
458251,8
862841,7
22929,1
561240,25
352125,16
199414,8
904506,15
612554,25
30181,1
147227,8
103020,20
471194,8
58622,7
747926,20
741920,8
929102,13
727460,8
124819,6
116388,8
713396,12
690989,26
171106,1
11124,21
258485,8
502682,8
723335,15
830555,20
326167,8
507681,19
872107,20
290956,1
132480,1
489600,8
691502,20
468332,1
77106,1
711769,6
676970,13
151882,20
489452,20
409214,19
1078,15
931747,25
478867,20
215063,26
663137,19
291923,20
597688,16
407815,20
90216,1
52914,8
803312,8
129836,4
581726,8
930662,20
781541,8
774229,22
867455,26
681781,21
120709,16
908050,12
675902,6
99522,20
640547,20
532592,8
663292,8
42847,1
799057,1
527059,8
147326,16
921175,25
934263,8
317902,15
636907,20
129020,16
631742,7
312162,8
446717,8
32364,13
922523,12
709253,8
921986,26
798065,8
880113,15
184807,16
780317,13
91749,20
523246,20
442938,8
900261,6
128437,8
663754,20
925474,20
181713,8
901854,8
249744,3
547139,4
944799,3
808903,1
295398,20
826970,20
482452,8
812032,17
523560,8
451071,15
777587,8
41698,8
16551,11
394519,1
827809,8
290543,26
54689,4
514411,13
132805,20
580071,12
783582,1
411610,8
696834,8
67526,6
925362,6
525413,18
682012,20
255514,19
797858,16
103083,8
567312,20
384068,15
944251,3
436462,1
402130,20
791071,2
327259,17
201784,8
912079,1
132607,20
787400,20
535610,21
15830,8
612836,16
425220,26
709423,8
292401,7
631932,15
792415,8
902487,8
614757,26
99944,8
82146,16
628963,15
820449,8
59402,8
816718,8
505400,1
731795,26
796729,8
139900,1
467916,26
945831,16
228688,13
500843,16
769345,7
779496,8
773309,16
644814,8
921408,7
475656,8
347743,7
51794,20
167828,16
948170,8
931427,25
486127,22
665509,20
101965,20
414505,8
884204,20
136333,20
733403,6
161593,16
331366,15
685492,1
854753,22
921998,18
671056,12
809535,1
337172,20
315400,1
389131,22
312409,8
291658,1
818531,22
188131,6
795043,14
529278,16
139818,17
783463,1
89920,8
855273,16
927341,19
693727,8
480522,26
210552,8
852999,11
698205,21
52262,7
917868,25
98599,1
388340,8
443945,6
914423,26
573297,8
184211,16
892215,8
385916,20
678848,13
901851,6
744437,8
812905,1
786635,20
609136,26
302536,25
927031,14
298796,20
704714,8
259646,20
286584,12
832746,20
273539,15
373978,25
398837,1
163022,8
312321,4
246846,20
842532,8
612622,1
882639,16
494,12
627950,20
871238,22
395455,8
742816,1
140907,16
866297,8
160163,8
169366,21
930019,20
840573,15
872103,6
837456,20
305623,8
815223,4
639649,16
824838,8
318414,20
16811,15
851670,6
344316,20
761061,20
639293,19
558201,20
390330,8
80824,1
189575,15
112741,26
630380,1
217782,8
313867,8
506016,8
617387,26
14958,7
583548,7
416364,20
110138,26
12036,20
208534,20
622710,16
924162,24
84957,8
769981,8
799143,25
919844,1
950821,20
827950,20
152788,9
853019,26
506360,8
32278,8
284,7
131001,26
275084,13
303708,25
942086,6
191173,19
710574,6
429715,8
396634,16
21382,20
666540,1
393132,25
621283,1
701598,8
504850,1
570315,15
339458,6
900139,15
751758,15
64303,25
49649,8
246524,19
926298,8
135937,26
886950,20
925490,8
140947,26
651150,1
260538,20
859262,8
929758,6
491207,8
546652,15
806726,1
883977,19
46757,1
88555,20
898028,17
486067,13
904939,8
796423,8
763418,16
947745,16
147934,8
538032,1
515407,20
98650,8
323047,20
718744,8
951212,8
50611,8
517765,8
200428,7
836069,1
460595,8
772403,8
493822,1
2289,1
200488,1
872356,7
779950,9
901837,7
148151,8
440568,3
716242,8
361605,15
691591,15
230121,6
214050,20
29333,8
304836,7
481002,8
582310,22
605500,8
180852,16
944213,20
364762,8
237282,14
651432,16
351399,8
634683,16
502844,20
95038,8
294564,16
49979,20
673741,12
928884,17
248813,8
729504,20
63190,8
819012,1
179604,8
299853,16
7450,9
590437,16
664260,8
203964,26
911103,16
727981,20
298152,8
365970,27
228778,15
707082,1
594423,7
245916,8
523661,8
336380,20
380984,20
912618,1
78706,6
422739,15
202185,21
849747,8
196369,12
573592,4
831074,8
408584,19
637693,20
511202,1
732953,16
24802,12
275772,8
446637,4
239036,1
445322,20
923413,22
213156,16
802651,4
242958,15
271939,6
98954,8
517257,8
441232,20
155463,8
111323,17
444998,20
717330,20
53722,8
624019,8
734832,11
141106,8
748460,15
560931,3
244784,20
563645,8
896830,8
3608,8
311058,15
436455,20
595682,7
735734,8
355192,1
829891,8
110706,8
687751,1
189870,15
577584,8
370379,20
888606,20
715022,6
696202,13
650565,8
193713,6
324506,1
750886,1
716682,8
427042,20
127429,8
277322,7
845499,1
540878,1
44616,7
16189,26
619314,16
941100,16
681716,25
495552,8
300332,1
949555,16
302186,8
666549,1
207412,8
590239,16
381480,8
431644,20
253889,4
64320,2
860103,16
842865,1
506370,1
452154,15
937434,20
737296,20
410587,8
49956,20
828692,13
268989,1
271154,7
583214,4
384949,8
708005,4
81062,16
516000,8
530134,20
735424,4
464824,17
794905,3
712127,8
862517,15
100717,15
8320,20
949379,8
175266,13
906391,20
777897,20
224357,1
409077,20
430050,8
394274,20
526413,8
301309,9
939156,20
752296,20
613823,1
297018,1
372115,16
719219,6
30594,25
91888,1
43150,20
462094,9
505907,1
712723,1
924091,26
747311,15
438329,8
309067,20
540836,1
117237,20
465697,6
941136,1
445203,1
827099,16
617474,17
712315,18
713151,9
22441,1
502242,16
861874,20
531814,20
435422,4
866228,1
458127,15
689222,20
102116,20
551292,21
157229,16
310516,8
462504,8
430042,8
922710,1
860759,20
487523,20
148430,8
93283,8
703914,6
692390,26
838382,7
352129,1
949948,16
875693,7
129887,8
763293,8
286271,13
581580,8
429999,8
748568,6
771162,8
318306,20
185066,6
258659,1
922558,16
566927,8
209161,25
841816,17
902543,26
260863,8
472047,20
246983,6
584090,8
864075,8
267477,1
93202,20
52741,15
868306,8
474197,15
19800,8
268601,16
929176,26
218316,8
230988,12
102237,20
23900,8
159462,2
113865,8
676201,25
191721,13
219045,26
372501,8
728140,1
864186,8
603980,19
749583,13
726048,8
904320,26
97837,13
41200,8
842846,20
789726,6
486829,8
887317,8
400642,1
472284,1
800556,1
77321,20
733276,15
339856,9
508814,11
515287,1
689145,8
654304,8
92201,20
441129,15
694133,1
214546,8
92512,8
707668,15
576413,26
925669,22
837589,15
229910,7
311105,12
56932,8
433171,15
231714,8
311994,16
53066,8
477853,13
689277,26
675945,6
427712,16
559409,8
231084,13
648154,1
249936,8
830022,13
99432,16
110814,26
920019,15
513004,11
338586,18
1757,7
510928,20
157298,15
945412,19
844952,8
60013,3
879948,26
179605,11
244649,8
692853,20
920127,15
228321,8
720281,8
231117,19
53254,20
122252,1
872655,12
846757,20
553179,1
929572,26
284462,16
469007,21
332603,1
388738,6
459367,1
877740,8
380126,6
323023,13
266176,15
361158,8
569146,1
578639,25
393922,6
409680,8
279294,8
253,26
778380,1
288066,7
822286,8
90890,16
497154,1
280171,13
409932,8
105911,9
944968,3
268388,20
930467,5
596167,8
743238,16
247218,20
827288,13
1040,26
891212,20
923189,3
3179,15
530837,1
591965,20
689210,21
813204,1
478988,16
14916,8
436037,8
349763,8
115485,20
161400,6
174217,8
862765,26
604718,9
92379,8
643807,8
929219,26
318283,13
574216,8
506459,20
703964,27
769013,6
144240,19
498595,8
522845,20
827458,8
563868,8
787120,26
347071,8
197131,16
277369,13
359572,21
125193,11
942204,13
199729,16
396400,25
572131,8
659688,13
113631,15
216244,8
535152,16
739711,16
149316,1
378211,20
310227,1
921501,20
200173,9
150716,20
630916,27
254485,16
2167,20
693698,1
944676,19
300441,8
410557,25
175511,6
438348,20
831025,13
220862,8
514059,8
305774,1
14159,8
251473,8
465588,8
72011,7
145644,16
645716,1
931730,16
61586,9
42887,1
249225,27
425878,8
16164,6
610953,7
670469,16
949176,1
156073,8
761194,8
894630,13
599478,15
217031,20
439136,15
640632,8
106324,20
67908,15
144207,8
370353,16
729111,13
511995,8
567769,7
712528,13
514633,13
620793,19
735700,20
340700,8
406284,6
179734,6
819635,20
687915,12
109028,6
897624,8
510679,4
28231,20
461358,20
501212,13
396354,15
786638,20
471491,8
64627,8
323783,20
330686,1
930929,9
925075,12
313145,20
932460,26
171334,26
243659,20
582578,20
537214,6
465699,8
649903,1
742508,16
855957,6
502875,20
761474,8
534409,16
178842,20
872539,20
104412,13
714290,16
427348,8
1705,17
364789,26
941214,1
329691,13
748098,8
800152,8
476097,8
288729,20
924489,8
418532,8
618665,13
950650,9
12698,1
495762,20
558696,1
83997,20
282571,8
244718,1
713936,16
671736,8
285892,8
677766,8
743116,1
310663,4
1005172,4
175703,1
890027,1
633659,13
678034,6
50914,1
40110,8
213709,8
690231,8
233531,13
222812,26
233658,25
903741,8
301988,20
690977,8
944170,15
516563,21
354536,26
180992,6
709805,8
500039,20
103128,15
703861,20
709259,8
696718,20
435817,20
631683,8
814215,8
847444,20
612400,19
382122,1
697497,20
95530,6
428190,8
199272,13
580574,8
840141,26
301695,19
700578,8
114101,1
426627,8
264849,20
950941,1
79462,1
929948,12
716909,25
925338,26
133749,8
557996,16
211515,20
711112,12
18469,8
660688,8
842091,19
486984,16
923375,20
164712,16
111987,8
648886,20
24379,15
930871,7
151407,8
435054,6
671043,8
187311,13
536310,1
634511,15
863379,1
711423,16
239991,15
586166,13
35718,16
203338,8
524940,8
943612,1
218422,13
816783,1
630882,8
475947,8
855138,13
754010,26
833079,8
490626,8
226052,15
616795,12
803050,20
9782,8
242031,15
432412,20
9431,13
921048,8
680175,1
309297,8
697760,6
440700,20
573461,13
451368,8
664525,8
171876,15
428562,26
828027,8
225268,8
2470,1
877534,12
262156,6
555907,8
212932,17
533217,6
779879,20
735518,9
629299,8
740157,20
31884,1
333175,8
54269,26
485599,16
66099,22
913646,13
610222,1
688375,26
946508,8
846759,21
38194,16
190722,6
133443,25
979734,26
108840,20
946873,16
745675,3
26430,1
455369,20
362634,21
240972,16
52469,16
824817,8
906966,13
575109,8
118181,20
862918,15
378004,20
550223,16
919936,20
756411,8
470588,7
57281,11
416592,16
600602,8
440915,6
735906,16
138280,3
730556,8
673764,8
289689,8
205778,13
625420,20
387037,4
757047,20
151921,1
811122,12
434147,8
914253,9
320039,15
753358,16
118124,16
762806,13
526292,20
127039,8
857932,8
100731,8
687994,8
34304,7
460977,16
434354,20
834479,7
349873,1
947493,8
620830,26
868309,1
604185,13
156036,8
106068,20
323286,8
996237,26
166999,26
819665,8
273464,15
446254,8
259459,25
531169,8
752656,16
932734,26
736791,20
856814,20
237330,15
930649,26
919602,8
587923,8
167515,8
848090,8
669781,7
869305,8
512872,13
753576,1
192313,19
900443,12
551315,26
50619,16
133367,8
912922,26
138377,1
324799,15
272635,1
198601,8
670101,20
280045,13
302315,8
694232,7
741505,26
13406,8
943508,9
233123,13
685866,13
167495,9
490536,16
711274,25
358465,20
676396,20
778865,8
147518,8
105126,19
839403,8
516339,16
411030,6
210,16
372826,1
324620,8
306043,16
814647,8
938720,6
28152,1
57155,16
116611,6
839374,26
82360,1
431962,20
796706,13
868371,8
103104,8
187810,8
407566,20
334068,19
436,1
920884,8
535709,8
558484,20
253736,15
374931,16
649819,20
904814,26
606294,13
504310,8
718309,16
905451,1
488908,8
408100,19
45923,20
285881,7
14967,8
713212,8
252976,1
763049,20
330005,16
10143,16
389524,8
926166,4
357686,16
133718,20
252845,7
279471,8
500932,4
115822,21
635280,8
921851,1
758319,8
157,26
695617,8
269099,22
362915,26
85280,15
425475,6
854899,20
506144,8
279951,15
900938,8
937319,16
784362,19
826288,13
604049,1
929338,26
528392,8
904862,13
416254,8
559588,20
374585,4
108245,3
410043,8
511671,8
811186,15
404414,20
878061,26
922772,26
299549,6
497141,11
19459,1
870799,8
283608,19
539848,15
670081,22
768508,26
760194,15
163239,8
233699,8
565253,15
53395,20
34582,20
697344,8
435972,25
791076,16
105800,8
889043,1
791738,20
484904,4
483179,6
407,26
320550,20
169685,13
143694,4
297950,8
807653,16
288246,13
560459,11
175506,7
943708,8
375425,1
464424,20
127256,15
933290,26
934212,13
620455,8
811985,8
932509,16
518643,9
789861,1
105631,8
18378,1
495076,8
72016,8
588499,8
728867,8
146760,25
391914,8
592236,16
520130,8
15423,20
200922,8
344517,6
267741,13
922540,22
789796,8
569508,1
923027,12
874066,8
812628,8
202682,1
403984,20
944372,12
761435,8
489159,8
72140,8
931846,7
379496,19
932995,1
734536,1
420476,8
870677,1
693198,20
794730,25
307861,8
338958,8
1001723,26
826160,24
443540,13
456497,8
558546,26
376491,20
297253,8
808936,13
836798,1
401487,8
578820,9
585171,26
353472,22
259188,20
863755,1
48430,26
835940,8
183866,16
287689,1
653095,16
932220,7
921246,20
936754,20
853115,8
580091,8
276071,21
415401,1
675095,8
236415,20
356384,8
495547,8
98318,20
314296,8
183507,20
820107,8
13679,8
560460,20
698647,16
97404,1
514490,20
86999,8
619933,13
707795,16
798114,8
526780,8
128892,13
966253,26
918389,20
711260,25
155066,8
310161,26
660008,20
279352,1
183163,8
317889,1
47115,12
470216,1
296297,1
4697,1
321996,20
247515,6
522515,20
604833,19
415896,20
786483,20
1691,26
786593,20
928825,20
595904,20
808559,6
30137,26
573911,8
703647,8
95570,11
889245,8
862439,6
672744,20
388908,15
791074,8
2631,26
526501,1
843134,16
510115,1
228241,16
555770,19
123336,6
359323,1
276603,7
481656,13
28084,19
896036,8
547291,8
855594,16
66557,11
192290,1
370977,8
907473,13
797127,20
45100,1
791982,8
926925,12
425117,26
373267,1
748328,25
926389,26
108493,26
540512,6
359969,1
487763,27
902326,20
920931,8
755991,15
199078,12
722684,8
4450,6
78,19
148842,4
305867,16
348164,20
736049,27
636971,1
